CourseNames,Songs
Opening,Weekend (feat. Miguel),Praise The Lord (Da Shine) (feat. Skepta)
LuigiCircuit,Fire Squad,Apparently
MooMooMeadows,Day 'N' Nite (nightmare),Praise The Lord (Da Shine) (feat. Skepta)
MushroomGorge,Who Will Survive In America,Power Trip (feat. Miguel)
ToadsFactory,Erase Me - Main,Yikes
MarioCircuit,Antidote,ZEZE (feat. Travis Scott & Offset)
CoconutMall,Napkins,Roll in Peace (feat. XXXTENTACION)
DKSummit,Power Trip (feat. Miguel),ZEZE (feat. Travis Scott & Offset)
WariosGoldMine,THE SCOTTS,No Flockin'
DaisyCircuit,Pure Water (with Migos),Who Will Survive In America
KoopaCape,Slippery (feat. Gucci Mane),Collard Greens
MapleTreeway,Fire Squad,Tunnel Vision
GrumbleVolcano,Tequila Shots,Pure Water (with Migos)
DryDryRuins,Day 'N' Nite (nightmare),Neighbors
MoonviewHighway,Nikes on My Feet,From The D To The A (feat. Lil Yachty)
BowsersCastle,Self Care,Good News
RainbowRoad,Pursuit Of Happiness - Extended Steve Aoki Remix,Jet Fuel
PeachBeach,Drowning (feat. Kodak Black),Praise The Lord (Da Shine) (feat. Skepta)
YoshiFalls,Mr. Rager,I Wonder
GhostValley,Pursuit Of Happiness (Nightmare),Who Will Survive In America
MarioRaceway,Yikes,She Knows (feat. Amber Coffman & Cults)
SherbetLand,Swimming Pools (Drank),goosebumps
ShyGuyBeach,Day 'N' Nite (nightmare),Neighbors
DelfinoSquare,I Wonder,T-Shirt
WaluigiStadium,Blue World,Drowning (feat. Kodak Black)
DesertHills,Swimming Pools (Drank),Antidote
BowserCastle3,She Knows (feat. Amber Coffman & Cults),Pursuit Of Happiness (Nightmare)
JungleParkway,Antidote,Everyday (feat. Rod Stewart Miguel & Mark Ronson)
GCNMarioCircuit,Pursuit Of Happiness (Nightmare),ZEZE (feat. Travis Scott & Offset)
MarioCircuit3,Weekend (feat. Miguel),No Flockin'
PeachGardens,Just What I Am,Antidote
DKMountain,Mr. Rager,Apparently
N64BowsersCastle,Runaway,Money Trees
